from,to,year,tidligere_kommunenavn
1213,1213,1860,Fjelberg
1282,1213,1860,Eid (Hordaland)
1625,1624,1860,Stadsbygd
1625,1625,1860,Stadsbygd
1744,1744,1860,Overhalden
1744,1745,1860,Overhalden
1752,1752,1860,Kolvereid
1752,1755,1860,Kolvereid
2034,2033,1860,Tromsøysund
2034,2034,1860,Tromsøysund
130,114,1861,Tune
130,130,1861,Tune
421,420,1861,Vinger
421,421,1861,Vinger
527,502,1861,Vardal
527,527,1861,Vardal
1414,1415,1861,Brekke
1415,1415,1861,Lavik
2020,2019,1861,Kistrand
2020,2020,1861,Kistrand
1123,1102,1862,Høyland
1123,1123,1862,Høyland
1213,1213,1862,Fjelberg
1213,1216,1862,Fjelberg
1218,1216,1862,Finnås
1218,1218,1862,Finnås
1437,1401,1862,Kinn
1428,1413,1862,Askvoll
1428,1428,1862,Askvoll
1437,1437,1862,Kinn
1820,1817,1862,Alstahaug
1820,1820,1862,Alstahaug
1824,1824,1862,Vefsn
1824,1826,1862,Vefsn
512,511,1863,Lesja
512,512,1863,Lesja
1221,1221,1863,Stord
1221,1222,1863,Stord
1422,1422,1863,Lærdal
1422,1424,1863,Lærdal
2012,2012,1863,Alten-Talvik
2012,2013,1863,Alten-Talvik
2041,2041,1863,Skjervøy
2041,2043,1863,Skjervøy
437,437,1864,Tynset
437,438,1864,Tynset
520,520,1864,Ringebu
520,580,1864,Ringebu
1422,1422,1864,Lærdal
1422,1423,1864,Lærdal
1820,1818,1864,Alstahaug
1820,1820,1864,Alstahaug
2003,2003,1864,Vadsø
2022,2022,1864,Lebesby
2022,2025,1864,Lebesby
2003,2027,1864,Vadsø
926,926,1865,Vestre Moland
926,927,1865,Vestre Moland
1016,1014,1865,Øvrebø
1016,1016,1865,Øvrebø
1019,1019,1865,Mandals landsdistrikt
1218,1216,1865,Finnås
1218,1218,1865,Finnås
1653,1651,1865,Melhus
1653,1653,1865,Melhus
514,513,1866,Lom
514,514,1866,Lom
1437,1437,1866,Kinn
1437,1438,1866,Kinn
1560,1559,1866,Tingvoll
1560,1560,1866,Tingvoll
1745,1703,1866,Namsos Landdistrikt
1745,1745,1866,Namsos Landdistrikt
2020,2020,1866,Kistrand
2020,2021,1866,Kistrand
423,422,1867,Grue
423,423,1867,Grue
821,820,1867,Bø (Telemark)
821,821,1867,Bø (Telemark)
1147,1105,1867,Avaldsnes
1147,1147,1867,Avaldsnes
1443,1443,1867,Eid (Sogn og Fjordane)
1443,1444,1867,Eid (Sogn og Fjordane)
1515,1514,1867,Herøy (Møre og Romsdal)
1515,1515,1867,Herøy (Møre og Romsdal)
1545,1545,1867,Aukra
1545,1546,1867,Aukra
1722,1722,1867,Ytterøy
1722,1723,1867,Ytterøy
2035,1902,1867,Tromsø
2045,1911,1867,Kvæfjord
2047,1914,1867,Trondenes
2049,1915,1867,Sand (Troms)
2039,1917,1867,Ibestad
2037,1922,1867,Bardu
2024,1924,1867,Målselv
2051,1927,1867,Tranøy
2053,1929,1867,Berg (Troms)
2032,1930,1867,Hillesøy
2031,1931,1867,Lenvik
2033,1933,1867,Balsfjord
2034,1934,1867,Tromsøysund
2055,1936,1867,Karlsøy
2038,1938,1867,Lyngen
2041,1941,1867,Skjervøy
2043,1943,1867,Kvænangen
1139,1139,1868,Hinderaa
1139,1140,1868,Hinderaa
1235,1235,1868,Voss
1235,1236,1868,Voss
1221,1217,1869,Stord
1221,1221,1869,Stord
1734,1733,1869,Stod
1734,1734,1869,Stod
1851,1850,1869,Lødingen
1851,1851,1869,Lødingen
2002,2002,1869,Vardø
2002,2028,1869,Vardø
239,239,1870,Hurdal
239,240,1870,Hurdal
1230,1230,1870,Kinsarvik
1250,1250,1870,Haus
1250,1251,1870,Haus
1751,1750,1870,Nærøy
1751,1751,1870,Nærøy
2016,2016,1870,Hammerfest landdistrikt
2016,2017,1870,Hammerfest landdistrikt
1128,1128,1871,Høgsfjord
1128,1129,1871,Høgsfjord
1261,1258,1871,Manger
1261,1261,1871,Manger
1748,1748,1871,Fosnes
1748,1749,1871,Fosnes
1917,1917,1871,Ibestad
1917,1921,1871,Ibestad
1933,1932,1871,Balsfjord
1933,1933,1871,Balsfjord
1834,1834,1872,Lurøy
1834,1835,1872,Lurøy
1537,1537,1874,Eid og Voll
1537,1538,1874,Eid og Voll
1573,1572,1874,Edøy
1573,1573,1874,Edøy
1711,1711,1874,Øvre Stjørdal
1711,1712,1874,Øvre Stjørdal
1736,1736,1874,Snåsa
1736,1737,1874,Snåsa
929,929,1876,Åmli
929,932,1876,Åmli
1824,1802,1876,Vefsn
1814,1813,1876,Brønnøy
1814,1814,1876,Brønnøy
1824,1824,1876,Vefsn
301,301,1877,Christiania
619,619,1877,Ål
619,620,1877,Ål
934,934,1877,Evje og Vegusdal
934,937,1877,Evje og Vegusdal
1281,1301,1877,Bergen landdistrikt
1301,1301,1877,Bergen
1617,1617,1877,Hitra
1617,1619,1877,Hitra
522,522,1879,Gausdal
522,523,1879,Gausdal
918,918,1879,Austre Moland
918,921,1879,Austre Moland
918,990,1879,Austre Moland
1263,1263,1879,Lindås
1263,1265,1879,Lindås
1648,1647,1879,Støren
1648,1648,1879,Støren
432,432,1880,Rendal
432,433,1880,Rendal
1653,1652,1880,Melhus
1653,1653,1880,Melhus
920,920,1881,Øyestad
920,922,1881,Øyestad
980,1026,1881,Åseral
1139,1139,1881,Hinderaa
816,815,1882,Sannidal
816,816,1882,Sannidal
1152,1152,1882,Torvastad
1152,1153,1882,Torvastad
1519,1519,1884,Volda
1519,1520,1884,Volda
1527,1527,1884,Ørskog
1527,1528,1884,Ørskog
1836,1836,1884,Rødøy
1836,1837,1884,Rødøy
1853,1853,1884,Ofoten
1853,1855,1884,Ofoten
1133,1132,1885,Hjelmeland og Fister
1133,1133,1885,Hjelmeland og Fister
1142,1142,1885,Rennesøy
1142,1143,1885,Rennesøy
1235,1235,1885,Voss
1235,1237,1885,Voss
1253,1253,1885,Hosanger
1254,1254,1885,Hammer
1253,1257,1885,Hosanger
1254,1257,1885,Hammer
1731,1731,1885,Sparbu
1731,1732,1885,Sparbu
624,624,1886,Eiker
624,625,1886,Eiker
824,824,1886,Gransherad
824,825,1886,Gransherad
935,935,1886,Hornnes og Iveland
935,936,1886,Hornnes og Iveland
1245,1244,1886,Sund
1245,1245,1886,Sund
1445,1445,1886,Gloppen
1445,1446,1886,Gloppen
1617,1616,1886,Hitra
1617,1617,1886,Hitra
1941,1941,1886,Skjervøy
1941,1942,1886,Skjervøy
1752,1752,1887,Kolvereid
1752,1753,1887,Kolvereid
1845,1845,1887,Folden
1845,1846,1887,Folden
1915,1915,1887,Sand (Troms)
1927,1925,1887,Tranøy
1927,1926,1887,Tranøy
1927,1927,1887,Tranøy
1936,1935,1887,Karlsøy
1936,1936,1887,Karlsøy
1828,1827,1889,Nesna
1828,1828,1889,Nesna
580,431,1890,Sollia
1534,1533,1890,Haram
1534,1534,1890,Haram
1543,1542,1890,Nesset
1543,1543,1890,Nesset
1658,1657,1890,Børsa
1658,1658,1890,Børsa
414,413,1891,Vang (Hedmark)
414,414,1891,Vang (Hedmark)
1154,1154,1891,Skjold
1154,1155,1891,Skjold
1411,1411,1891,Evenvik
1412,1412,1891,Utvær
1416,1416,1891,Klævold
1660,1660,1891,Strinda
1660,1663,1891,Strinda
1745,1745,1891,Namsos landdistrikt
1745,1746,1891,Namsos landdistrikt
1150,1149,1892,Skudenes
1150,1150,1892,Skudenes
1233,1232,1892,Ulvik
1233,1233,1892,Ulvik
1233,1234,1892,Ulvik
1525,1525,1892,Stranda
1525,1526,1892,Stranda
1632,1631,1893,Bjørnør
1632,1632,1893,Bjørnør
1632,1633,1893,Bjørnør
540,540,1894,Sør-Aurdal
540,541,1894,Sør-Aurdal
542,541,1894,Nord-Aurdal
542,542,1894,Nord-Aurdal
1012,1011,1894,Oddernes
1012,1012,1894,Oddernes
1039,1039,1894,Herad
1039,1040,1894,Herad
1042,1042,1894,Nes og Hitterø
1042,1043,1894,Nes og Hitterø
1045,1044,1894,Bakke
1045,1045,1894,Bakke
1119,1118,1894,Hå
1119,1119,1894,Hå
1553,1553,1894,Kvernes
1556,1556,1894,Frei
1553,1557,1894,Kvernes
1556,1557,1894,Frei
1558,1557,1894,Øre
1558,1558,1894,Øre
1569,1569,1894,Aure
1569,1570,1894,Aure
2003,2003,1894,Vadsø
2003,2029,1894,Vadsø
1516,1516,1895,Ulstein
1516,1521,1895,Ulstein
1432,1432,1896,Førde
1432,1433,1896,Førde
1564,1564,1896,Stangvik
1564,1565,1896,Stangvik
1621,1621,1896,Ørland
1621,1622,1896,Ørland
1630,1629,1896,Å
1630,1630,1896,Å
534,534,1897,Gran
534,535,1897,Gran
617,617,1897,Gol
617,618,1897,Gol
1016,1015,1897,Øvrebø og Hægeland
1016,1016,1897,Øvrebø og Hægeland
1553,1551,1897,Kvernes
1553,1552,1897,Kvernes
1553,1553,1897,Kvernes
1553,1554,1897,Kvernes
1556,1555,1897,Frei
1556,1556,1897,Frei
1622,1622,1897,Værnes
532,532,1898,Jevnaker
532,533,1898,Jevnaker
1021,1021,1899,Øyslebø og Laudal
1021,1022,1899,Øyslebø og Laudal
1029,1029,1899,Sør-Undal
1029,1030,1899,Sør-Undal
1535,1535,1899,Vestnes
1535,1536,1899,Vestnes
1561,1561,1899,Øksendal
1561,1562,1899,Øksendal
1627,1626,1899,Bjugn
1627,1627,1899,Bjugn
1627,1628,1899,Bjugn
1662,1661,1899,Klæbu
1662,1662,1899,Klæbu
1037,1037,1900,Kvinesdal
1037,1038,1900,Kvinesdal
1820,1820,1900,Alstahaug
1820,1821,1900,Alstahaug
621,621,1901,Sigdal
621,622,1901,Sigdal
633,633,1901,Nore
633,634,1901,Nore
1664,1664,1901,Selbu
1664,1665,1901,Selbu
1723,1723,1901,Mosvik og Verran
1723,1724,1901,Mosvik og Verran
1732,1732,1901,Skei
1742,1742,1901,Grong
1742,1743,1901,Grong
1814,1812,1901,Brønnøy
1814,1814,1901,Brønnøy
1848,1847,1901,Steigen
1848,1848,1901,Steigen
120,120,1902,Rødenes
120,121,1902,Rødenes
903,903,1902,Arendal
990,903,1902,Barbu
915,915,1902,Dypvåg
915,916,1902,Dypvåg
940,940,1902,Valle
940,941,1902,Valle
1024,1024,1902,Bjelland og Grindheim
1024,1025,1902,Bjelland og Grindheim
1216,1215,1902,Sveen
1216,1216,1902,Sveen
1226,1225,1902,Strandebarm og Varaldsø
1226,1226,1902,Strandebarm og Varaldsø
1529,1529,1902,Skodje
1529,1530,1902,Skodje
1539,1539,1902,Grytten
1539,1540,1902,Grytten
1714,1713,1902,Nedre Stjørdal
1714,1714,1902,Nedre Stjørdal
1714,1715,1902,Nedre Stjørdal
1855,1805,1902,Ankenes
1855,1855,1902,Ankenes
1929,1928,1902,Berg (Troms)
1929,1929,1902,Berg (Troms)
1938,1937,1902,Lyngen
1938,1938,1902,Lyngen
1241,1239,1903,Fusa
1241,1240,1903,Fusa
1241,1241,1903,Fusa
2027,2026,1903,Nesseby
2027,2027,1903,Nesseby
118,118,1904,Aremark
118,119,1904,Aremark
1254,1254,1904,Hammer
1254,1255,1904,Hammer
1727,1725,1904,Beitstad
1727,1727,1904,Beitstad
1914,1901,1904,Trondenes
1914,1914,1904,Trondenes
221,221,1905,Høland
221,223,1905,Høland
616,615,1905,Nes (Buskerud)
616,616,1905,Nes (Buskerud)
1046,1046,1905,Sirdal
1046,1047,1905,Sirdal
1415,1414,1905,Lavik og Brekke
1415,1415,1905,Lavik og Brekke
1514,1513,1905,Sande (Møre og Romsdal)
1514,1514,1905,Sande (Møre og Romsdal)
1624,1623,1905,Rissa
1624,1624,1905,Rissa
1658,1658,1905,Børsa
1658,1659,1905,Børsa
1842,1841,1905,Skjerstad
1842,1842,1905,Skjerstad
1619,1619,1906,Frøya
1619,1620,1906,Frøya
1846,1844,1906,Norfold-Kjerringøy
1846,1846,1906,Norfold-Kjerringøy
1243,1242,1907,Os (Hordaland)
1243,1243,1907,Os (Hordaland)
1729,1728,1907,Inderøy
1729,1729,1907,Inderøy
1729,1730,1907,Inderøy
1917,1917,1907,Ibestad
1917,1920,1907,Ibestad
132,132,1908,Glemmen
132,133,1908,Glemmen
231,230,1908,Skedsmo
231,231,1908,Skedsmo
231,232,1908,Skedsmo
515,515,1908,Vaage
515,516,1908,Vaage
515,517,1908,Vaage
529,529,1908,Vestre Toten
529,530,1908,Vestre Toten
529,531,1908,Vestre Toten
629,629,1908,Sandsvær
629,630,1908,Sandsvær
929,929,1908,Åmli
929,930,1908,Åmli
929,931,1908,Åmli
1531,1531,1908,Borgund (Møre og Romsdal)
1531,1532,1908,Borgund (Møre og Romsdal)
1032,1031,1909,Lyngdal
1032,1032,1909,Lyngdal
1032,1033,1909,Lyngdal
1147,1147,1909,Avaldsnes
1147,1148,1909,Avaldsnes
1734,1734,1909,Stod
1734,1735,1909,Stod
1755,1754,1909,Leka
1755,1755,1909,Leka
1851,1851,1909,Lødingen
1851,1852,1909,Lødingen
113,112,1910,Borge (Østfold)
113,113,1910,Borge (Østfold)
525,525,1910,Biri
525,526,1910,Biri
1253,1252,1910,Hosanger
1253,1253,1910,Hosanger
1261,1259,1910,Manger
1261,1261,1910,Manger
1263,1263,1910,Lindås
1263,1264,1910,Lindås
1441,1439,1910,Selje
1441,1440,1910,Selje
1441,1441,1910,Selje
1847,1847,1910,Ledingen
130,130,1911,Tune
130,131,1911,Tune
428,428,1911,Trysil
432,432,1911,Ytre Rendal
433,433,1911,Øvre Rendal
428,434,1911,Trysil
432,434,1911,Ytre Rendal
433,434,1911,Øvre Rendal
436,434,1911,Tolga
436,436,1911,Tolga
1027,1027,1911,Nord-Undal
1027,1028,1911,Nord-Undal
1041,1041,1911,Vanse
1533,1533,1911,Roald
1612,1612,1911,Hemne
1612,1614,1911,Hemne
1216,1216,1912,Sveen
1238,1238,1912,Vikør
1430,1430,1912,Indre Holmedal
1728,1728,1912,Hustad (Nord-Trøndelag)
823,807,1913,Heddal
823,823,1913,Heddal
1429,1429,1913,Ytre Holmedal
1617,1617,1913,Hitra
1617,1618,1913,Hitra
1748,1747,1913,Fosnes
1748,1748,1913,Fosnes
438,438,1914,Lille Elvedalen
438,439,1914,Lille Elvedalen
536,536,1914,Søndre Land
536,537,1914,Søndre Land
538,538,1914,Nordre Land
538,539,1914,Nordre Land
1018,1017,1914,Søgne
1018,1018,1914,Søgne
1138,1137,1914,Jelsa
1138,1138,1914,Jelsa
1230,1228,1914,Ullensvang
1230,1230,1914,Ullensvang
1230,1231,1914,Ullensvang
1727,1726,1914,Beitstad
1727,1727,1914,Beitstad
2025,2023,1914,Tana
2025,2024,1914,Tana
2025,2025,1914,Tana
930,930,1915,Gjevedal
1254,1254,1915,Hammer
1569,1568,1915,Aure
1569,1569,1915,Aure
1573,1573,1915,Edøy
1573,1574,1915,Edøy
1573,1575,1915,Edøy
1616,1615,1915,Fillan
1616,1616,1915,Fillan
216,216,1916,Nesodden
216,217,1916,Nesodden
940,939,1916,Valle
940,940,1916,Valle
1034,1034,1916,Hægebostad
1034,1035,1916,Hægebostad
1280,1301,1916,Årstad
1301,1301,1916,Bergen
1737,1737,1916,Lierne
1737,1738,1916,Lierne
1821,1821,1916,Stamnes
1821,1822,1916,Stamnes
612,611,1917,Hole
612,612,1917,Hole
1148,1148,1917,Kopervik herred
1213,1213,1917,Fjelberg
1213,1214,1917,Fjelberg
1218,1218,1917,Finnås
1218,1219,1917,Finnås
1218,1220,1917,Finnås
1516,1516,1917,Ulstein
1516,1517,1917,Ulstein
1521,1521,1917,Vartdalsstranden
1817,1816,1917,Tjøtta
1817,1817,1917,Tjøtta
1859,1858,1917,Flakstad
1859,1859,1917,Flakstad
128,128,1918,Rakkestad
128,129,1918,Rakkestad
438,438,1918,Lille Elvedalen
515,515,1918,Vaage
811,811,1918,Slemdal
1025,1025,1918,Grindum
1037,1037,1918,Liknes
1818,1818,1918,Herøy (Nordland)
1818,1819,1918,Herøy (Nordland)
194,194,1919,Moss landsogn
1247,1247,1919,Askøy
1247,1248,1919,Askøy
1511,1511,1919,Vanylven
1511,1512,1919,Vanylven
1549,1549,1919,Bud
1549,1550,1919,Bud
1865,1806,1919,Vågan
1832,1830,1919,Hemnes
1832,1832,1919,Hemnes
1865,1865,1919,Vågan
224,224,1920,Aurskog
224,225,1920,Aurskog
918,917,1920,Austre Moland
918,918,1920,Austre Moland
1042,1042,1920,Hitterø
1860,1860,1920,Buksnes
1860,1861,1920,Buksnes
1868,1868,1920,Øksnes
1868,1869,1920,Øksnes
125,125,1921,Eidsberg
125,126,1921,Eidsberg
1638,1637,1921,Orkdal
1638,1638,1921,Orkdal
1638,1639,1921,Orkdal
931,931,1922,Lille Topdal
1126,1126,1923,Hetland
1126,1127,1923,Hetland
1143,1143,1923,Mosterøy
1143,1144,1923,Mosterøy
1157,1156,1923,Vikedal
1157,1157,1923,Vikedal
1157,1158,1923,Vikedal
1437,1435,1923,Kinn
1437,1436,1923,Kinn
1437,1437,1923,Kinn
1536,1536,1923,Sylte
1814,1801,1923,Brønnøy
1833,1803,1923,Mo (Nordland)
1814,1814,1923,Brønnøy
1833,1833,1923,Mo (Nordland)
1257,1256,1924,Alversund
1257,1257,1924,Alversund
1412,1412,1924,Sulen
1545,1545,1924,Aukra
1545,1547,1924,Aukra
1742,1739,1924,Grong
1742,1740,1924,Grong
1742,1741,1924,Grong
1742,1742,1924,Grong
1872,1871,1924,Dverberg
1872,1872,1924,Dverberg
1872,1873,1924,Dverberg
221,221,1925,Høland
221,222,1925,Høland
301,301,1925,Kristiania
1152,1151,1925,Torvastad
1152,1152,1925,Torvastad
1261,1260,1925,Manger
1261,1261,1925,Manger
1261,1262,1925,Manger
1519,1518,1925,Volda
1519,1519,1925,Volda
1612,1611,1925,Hemne
1612,1612,1925,Hemne
1612,1613,1925,Hemne
1260,1260,1926,Bø (Hordaland)
1853,1853,1926,Evenes
1853,1854,1926,Evenes
1924,1923,1926,Målselv
1924,1924,1926,Målselv
436,435,1927,Tolga
436,436,1927,Tolga
1640,1640,1927,Røros
1640,1641,1927,Røros
1640,1642,1927,Røros
1640,1643,1927,Røros
1914,1912,1927,Trondenes
1914,1913,1927,Trondenes
1914,1914,1927,Trondenes
1917,1916,1927,Ibestad
1917,1917,1927,Ibestad
1917,1918,1927,Ibestad
1917,1919,1927,Ibestad
101,101,1928,Fredrikshald
1824,1823,1928,Vefsn
1824,1824,1928,Vefsn
1824,1825,1928,Vefsn
1862,1862,1928,Borge (Nordland)
1862,1863,1928,Borge (Nordland)
1857,1856,1929,Værøy
1857,1857,1929,Værøy
227,227,1930,Fet
227,228,1930,Fet
798,798,1930,Fredriksvern
1657,1657,1930,Børseskognen
1832,1829,1930,Hemnes
1832,1831,1930,Hemnes
1832,1832,1930,Hemnes
1938,1938,1930,Lyngen
1938,1939,1930,Lyngen
1938,1940,1930,Lyngen
922,922,1931,His
1124,1124,1931,Håland
1124,1125,1931,Håland
212,212,1932,Kråkstad
212,213,1932,Kråkstad
724,724,1932,Sandeherad
1651,1651,1932,Høilandet
634,634,1933,Opdal
1630,1630,1935,Å
1630,1630,1937,Åfjord
1937,1937,1938,Sørfjord
1812,1812,1941,Vik (Nordland)
798,708,1943,Stavern
104,104,1944,Moss
194,104,1944,Jeløy
204,211,1944,Hølen
211,211,1944,Vestby
1107,1111,1945,Sogndal (Rogaland)
1111,1111,1945,Sokndal
218,301,1948,Aker
301,301,1948,Oslo
1264,1264,1948,Austrheim
1264,1265,1948,Austrheim
1265,1266,1948,Masfjorden
1821,1821,1949,Stamnes
2019,2019,1950,Kjelvik
2028,2028,1955,Vardø landsogn
1106,1106,1958,Haugesund
1153,1106,1958,Skåre
801,815,1960,Kragerø
815,815,1960,Skåtøy
816,815,1960,Sannidal
902,914,1960,Tvedestrand
914,914,1960,Holt
915,914,1960,Dypvåg
929,929,1960,Åmli
930,929,1960,Gjøvdal
936,937,1960,Hornnes
937,937,1960,Evje
1045,1045,1960,Bakke
1045,1046,1960,Bakke
1046,1046,1960,Tonstad
1047,1046,1960,Øvre Sirdal
1541,1541,1960,Veøy
1561,1563,1960,Øksendal
1562,1563,1960,Ålvundeid
1563,1563,1960,Sunndal
1573,1573,1960,Edøy
1574,1573,1960,Brattvær
1575,1573,1960,Hopen
125,125,1961,Eidsberg
126,125,1961,Mysen
203,215,1962,Drøbak
215,215,1962,Frogn
225,226,1962,Blaker
226,226,1962,Sørum
231,231,1962,Skedsmo
232,231,1962,Lillestrøm
522,522,1962,Østre Gausdal
523,522,1962,Vestre Gausdal
534,534,1962,Gran
535,534,1962,Brandbu
536,536,1962,Søndre Land
537,536,1962,Fluberg
537,538,1962,Fluberg
538,538,1962,Nordre Land
539,538,1962,Torpa
633,633,1962,Nore
634,633,1962,Uvdal
914,914,1962,Tvedestrand
914,918,1962,Tvedestrand
916,918,1962,Flosta
917,918,1962,Stokken
918,918,1962,Austre Moland
920,920,1962,Øyestad
920,924,1962,Øyestad
924,924,1962,Landvik
925,924,1962,Eide (Aust-Agder)
905,926,1962,Lillesand
925,926,1962,Eide (Aust-Agder)
926,926,1962,Vestre Moland
927,926,1962,Høvåg
939,940,1962,Hylestad
940,940,1962,Valle
1712,1714,1962,Hegra
1713,1714,1962,Lånke
1714,1714,1962,Stjørdal
1715,1714,1962,Skatval
1701,1719,1962,Levanger
1716,1719,1962,Åsen
1719,1719,1962,Skogn
1720,1719,1962,Frol
1728,1729,1962,Sandvollan
1729,1729,1962,Inderøy
1730,1729,1962,Røra
1818,1818,1962,Herøy (Nordland)
1802,1824,1962,Mosjøen
1823,1824,1962,Drevja
1824,1824,1962,Vefsn
1829,1824,1962,Elsfjord
1818,1827,1962,Herøy (Nordland)
1819,1827,1962,Nordvik
1827,1827,1962,Dønnes
1828,1827,1962,Nesna
1828,1828,1962,Nesna
1851,1851,1962,Lødingen
1851,1854,1962,Lødingen
1854,1854,1962,Ballangen
424,425,1963,Hof (Hedmark)
425,425,1963,Åsnes
1030,1030,1963,Spangereid
1030,1032,1963,Spangereid
1031,1032,1963,Austad
1032,1032,1963,Lyngdal
1033,1032,1963,Kvås
1034,1034,1963,Hægebostad
1035,1034,1963,Eiken
1036,1037,1963,Fjotland
1037,1037,1963,Kvinesdal
1038,1037,1963,Feda
1218,1219,1963,Moster
1219,1219,1963,Bømlo
1220,1219,1963,Bremnes
1425,1426,1963,Hafslo
1426,1426,1963,Luster
1427,1426,1963,Jostedal
1637,1638,1963,Orkland
1638,1638,1963,Orkdal
1639,1638,1963,Orkanger
1659,1638,1963,Geitastrand
1860,1860,1963,Buksnes
1861,1860,1963,Hol (Nordland)
1862,1860,1963,Borge (Nordland)
1863,1860,1963,Valberg
1866,1866,1963,Hadsel
1869,1869,1963,Langenes
1866,1870,1963,Hadsel
1869,1870,1963,Langenes
1870,1870,1963,Sortland
103,103,1964,Fredrikstad
112,103,1964,Torsnes
132,103,1964,Glemmen
112,113,1964,Torsnes
113,113,1964,Borge (Østfold)
119,119,1964,Øymark
120,119,1964,Rødenes
128,128,1964,Rakkestad
129,128,1964,Degernes
201,211,1964,Son
211,211,1964,Vestby
212,213,1964,Kråkstad
213,213,1964,Ski
237,237,1964,Eidsvoll
240,237,1964,Feiring
411,412,1964,Nes (Hedmark)
412,412,1964,Ringsaker
